Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
HistData,/Users/hamedbh/Library/R/3.x/library,0.8-2,NA,NA,NA,NA,"gtools, KernSmooth, maps, ggplot2, scales, proto, grid,
reshape, plyr, lattice, jpeg, car, gplots, sp, heplots, knitr,
rmarkdown, effects, lubridate, gridExtra",NA,GPL,NA,NA,NA,NA,no,3.4.1
Hmisc,/Users/hamedbh/Library/R/3.x/library,4.0-3,NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable, viridis,
htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
IRanges,/home/rstudio/packages,2.10.2,NA,"R (>= 3.1.0), methods, utils, stats, BiocGenerics (>= 0.21.1),
S4Vectors (>= 0.13.17)",stats4,S4Vectors,"XVector, GenomicRanges, GenomicFeatures, GenomicAlignments,
BSgenome.Celegans.UCSC.ce2, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.4.0
KernSmooth,/Users/hamedbh/Library/R/3.x/library,2.23-15,recommended,"R (>= 2.5.0), stats",NA,NA,MASS,NA,Unlimited,NA,NA,NA,NA,yes,3.4.1
Lahman,/Users/hamedbh/Library/R/3.x/library,6.0-0,NA,R (>= 2.10),dplyr,NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, zipcode",NA,GPL,NA,NA,NA,NA,no,3.4.1
LearnBayes,/Users/hamedbh/Library/R/3.x/library,2.15,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.3.0
MASS,/Users/hamedbh/Library/R/3.x/library,7.3-47,recommended,"R (>= 3.1.0), grDevices, graphics, stats, utils",methods,NA,"lattice, nlme, nnet, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.3.3
Matrix,/Users/hamedbh/Library/R/3.x/library,1.2-11,recommended,R (>= 3.0.1),"methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc",GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,3.4.1
MatrixModels,/Users/hamedbh/Library/R/3.x/library,0.4-1,NA,R (>= 3.0.1),"stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.3.0
ModelMetrics,/Users/hamedbh/Library/R/3.x/library,1.1.0,NA,R (>= 3.2.2),Rcpp,Rcpp,testthat,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
NLP,/Users/hamedbh/Library/R/3.x/library,0.1-11,NA,R (>= 3.2.0),utils,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.4.1
NMF,/Users/hamedbh/Library/R/3.x/library,0.20.6,NA,"R (>= 3.0.0), methods, utils, pkgmaker (>= 0.20), registry,
rngtools (>= 1.2.3), cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2",NA,"RcppOctave (>= 0.11), fastICA, doMPI, bigmemory (>= 4.2),
synchronicity, corpcor, xtable, devtools, knitr, bibtex, RUnit,
mail, Biobase",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
OpenML,/Users/hamedbh/Library/R/3.x/library,1.6,NA,"R (>= 3.0.2), mlr (>= 2.11)","backports (>= 1.1.0), BBmisc (>= 1.11), checkmate (>= 1.8.2),
ParamHelpers (>= 1.10), data.table, digest, httr, stringi, XML,
jsonlite, memoise (>= 1.0.0), stats, curl",NA,"testthat, xml2, randomForest, rpart, RWeka, farff, knitr,
rmarkdown, R.rsp",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,no,3.4.2
PBSmapping,/Users/hamedbh/Library/R/3.x/library,2.70.4,NA,R (>= 2.15.0),NA,NA,"foreign, maptools, deldir",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
PKI,/Users/hamedbh/Library/R/3.x/library,0.1-5.1,NA,"R (>= 2.9.0), base64enc",NA,NA,NA,gmp,GPL-2 | GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.2
ParamHelpers,/Users/hamedbh/Library/R/3.x/library,1.10,NA,NA,"BBmisc (>= 1.10), checkmate (>= 1.8.1), methods",NA,"akima, eaf, emoa, GGally, ggplot2, gridExtra, grid, irace (>=
2.1), lhs, plyr, reshape2, testthat",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.2
PerformanceAnalytics,/Users/hamedbh/Library/R/3.x/library,1.4.3541,NA,"R (>= 3.0.0), xts (>= 0.9)",zoo,NA,"Hmisc, MASS, quantmod, gamlss, gamlss.dist, robustbase,
quantreg, gplots",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.4.2
Quandl,/Users/hamedbh/Library/R/3.x/library,2.8.0,NA,"R (>= 2.15.0), xts","httr (>= 0.6.1), zoo, jsonlite (>= 0.9.14)",NA,"testthat (>= 0.10.0), roxygen2, timeSeries",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.2
R6,/usr/local/lib/R/site-library,2.1.2,NA,R (>= 3.0),NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.0
RApiDatetime,/Users/hamedbh/Library/R/3.x/library,0.0.3,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
RColorBrewer,/Users/hamedbh/Library/R/3.x/library,1.1-2,NA,R (>= 2.0.0),NA,NA,NA,NA,Apache License 2.0,NA,NA,NA,NA,no,3.3.0
RCurl,/Users/hamedbh/Library/R/3.x/library,1.95-4.8,NA,"R (>= 3.0.0), methods, bitops",NA,NA,"Rcompression, XML",NA,BSD,NA,NA,NA,NA,yes,3.3.0
RDocumentation,/Users/hamedbh/Library/R/3.x/library,0.8.0,NA,NA,"httr (>= 1.2.1), proto (>= 0.3-10), rjson (>= 0.2.15), utils,
githubinstall",NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,no,3.3.3
RJSONIO,/Users/hamedbh/Library/R/3.x/library,1.3-0,NA,NA,methods,NA,NA,NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.3.0
RMySQL,/Users/hamedbh/Library/R/3.x/library,0.10.13,NA,"R (>= 2.8.0), DBI (>= 0.4)",methods,NA,testthat,NA,GPL-2,NA,NA,NA,NA,yes,3.4.2
ROCR,/Users/hamedbh/Library/R/3.x/library,1.0-7,NA,"gplots, methods",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
RPostgreSQL,/Users/hamedbh/Library/R/3.x/library,0.6-2,NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,GPL-2 | file LICENSE,NA,NA,NA,NA,yes,3.4.1
RSQLite,/Users/hamedbh/Library/R/3.x/library,2.0,NA,R (>= 3.1.0),"bit64, blob (>= 1.1), DBI (>= 0.4-9), memoise, methods,
pkgconfig, Rcpp (>= 0.12.7)","Rcpp, BH, plogr","DBItest, knitr, rmarkdown, testthat",NA,LGPL (>= 2),NA,NA,NA,NA,yes,3.4.1
RSkittleBrewer,/Users/hamedbh/Library/R/3.x/library,1.1,NA,NA,"graphics, stats, grDevices",NA,"knitr, rmarkdown,",NA,MIT + file LICENSE,NA,NA,NA,NA,NA,3.4.2
RUnit,/Users/hamedbh/Library/R/3.x/library,0.4.31,NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0), graphics
(>= 2.5.0)",NA,NA,XML (>= 3.1.0),NA,GPL-2,NA,NA,NA,NA,no,3.3.0
Rcpp,/Users/hamedbh/Library/R/3.x/library,0.12.13,NA,R (>= 3.0.0),"methods, utils",NA,"RUnit, inline, rbenchmark, knitr, rmarkdown, pinp, pkgKitten
(>= 0.1.2)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
RcppArmadillo,/Users/hamedbh/Library/R/3.x/library,0.7.960.1.2,NA,NA,"Rcpp (>= 0.11.0), stats, utils, methods",Rcpp,"RUnit, Matrix, pkgKitten, reticulate, highlight",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
RcppEigen,/usr/local/lib/R/site-library,0.3.2.8.1,NA,R (>= 2.15.1),"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils",Rcpp,"inline, RUnit, pkgKitten",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.3.0
RcppParallel,/usr/local/lib/R/site-library,4.3.19,NA,R (>= 3.0.2),NA,BH (>= 1.60.0-1),"Rcpp, RUnit, knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
RcppRoll,/Users/hamedbh/Library/R/3.x/library,0.2.2,NA,R (>= 2.15.1),Rcpp,Rcpp,"zoo, microbenchmark, testthat, RcppArmadillo",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
RgoogleMaps,/Users/hamedbh/Library/R/3.x/library,1.4.1,NA,R (>= 2.10),"graphics, stats, utils, grDevices, methods, png",NA,"PBSmapping, maptools, sp, loa, RColorBrewer, leaflet",NA,GPL,NA,NA,NA,NA,no,3.4.2
Rttf2pt1,/Users/hamedbh/Library/R/3.x/library,1.3.4,NA,R (>= 2.15),NA,NA,NA,NA,file LICENSE,yes,NA,NA,NA,yes,3.4.0
S4Vectors,/Users/hamedbh/Library/R/3.x/library,0.12.2,NA,"R (>= 3.3.0), methods, utils, stats, stats4, BiocGenerics (>=
0.15.10)",NA,NA,"IRanges, GenomicRanges, Matrix, ShortRead, graph, data.table,
RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.4.2
SentimentAnalysis,/Users/hamedbh/Library/R/3.x/library,1.2-0,NA,R (>= 2.10),"tm (>= 0.6), qdapDictionaries, ngramrr (>= 0.1), moments,
stringdist, SnowballC, XML, glmnet, spikeslab (>= 1.1),
ggplot2, mgcv",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.0
SnowballC,/Users/hamedbh/Library/R/3.x/library,0.5.1,NA,NA,NA,NA,NA,NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.0
SparseM,/Users/hamedbh/Library/R/3.x/library,1.77,NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
StanHeaders,/Users/hamedbh/Library/R/3.x/library,2.16.0-1,NA,NA,NA,NA,"RcppEigen, BH",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.1
TH.data,/Users/hamedbh/Library/R/3.x/library,1.0-8,NA,"R (>= 2.10.0), survival, MASS",NA,NA,"dplyr, gdata, plyr",NA,GPL-3,NA,NA,NA,NA,no,3.3.3
TTR,/Users/hamedbh/Library/R/3.x/library,0.23-2,NA,NA,"xts (>= 0.10-0), zoo, curl",xts,RUnit,quantmod,GPL-2,NA,NA,NA,NA,yes,3.4.1
UsingR,/Users/hamedbh/Library/R/3.x/library,2.0-5,NA,"R (>= 2.15.0), MASS, HistData, Hmisc",NA,NA,"zoo, coin, ggplot2, vcd, lubridate, aplpack",NA,GPL (>= 2),NA,NA,NA,NA,no,3.3.0
V8,/Users/hamedbh/Library/R/3.x/library,1.5,NA,NA,"Rcpp (>= 0.12), jsonlite (>= 1.0), curl (>= 1.0), utils",Rcpp,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.2
XLConnect,/Users/hamedbh/Library/R/3.x/library,0.2-13,NA,"R (>= 2.10.0), XLConnectJars (== 0.2-13)","methods, rJava",NA,"RUnit, lattice, ggplot2 (>= 0.9.3), zoo",NA,GPL-3,NA,NA,NA,NA,no,3.4.1
XLConnectJars,/Users/hamedbh/Library/R/3.x/library,0.2-13,NA,NA,rJava,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.4.1
XML,/Users/hamedbh/Library/R/3.x/library,3.98-1.9,NA,"R (>= 2.13.0), methods, utils",NA,NA,"bitops, RCurl",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.1
abind,/Users/hamedbh/Library/R/3.x/library,1.4-5,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,LGPL (>= 2),NA,NA,NA,NA,no,3.3.0
acepack,/Users/hamedbh/Library/R/3.x/library,1.4.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.2
agridat,/Users/hamedbh/Library/R/3.x/library,1.12,NA,NA,"graphics, grDevices, grid, lattice, reshape2, stats",NA,"AER, agricolae (>= 1.2), betareg, car, coin, corrgram,
effects, equivalence, FrF2, gam, gstat, HH, knitr,
latticeExtra, lme4 (>= 1.1-5), lucid, mapproj, maps, MASS,
MCMCglmm, mgcv, nlme, ordinal, pls, pscl, qtl, sp, survival,
vcd",NA,GPL-2,NA,NA,NA,NA,no,3.4.2
annotate,/Users/hamedbh/Library/R/3.x/library,1.52.1,NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), RCurl",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,Artistic-2.0,NA,NA,NA,NA,no,3.4.2
anytime,/Users/hamedbh/Library/R/3.x/library,0.3.0,NA,R (>= 3.2.0),"Rcpp (>= 0.12.9), RApiDatetime","Rcpp (>= 0.12.9), BH, RApiDatetime",gettz,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
arm,/Users/hamedbh/Library/R/3.x/library,1.9-3,NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.2
assertthat,/Users/hamedbh/Library/R/3.x/library,0.2.0,NA,NA,tools,NA,testthat,NA,GPL-3,NA,NA,NA,NA,no,3.3.3
backports,/Users/hamedbh/Library/R/3.x/library,1.1.1,NA,R (>= 3.0.0),utils,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.2
base,/Users/hamedbh/Library/R/3.x/library,3.3.1,base,NA,NA,NA,methods,NA,Part of R 3.3.1,NA,NA,NA,NA,NA,3.3.1
base64enc,/Users/hamedbh/Library/R/3.x/library,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.3.0
bayesplot,/Users/hamedbh/Library/R/3.x/library,1.4.0,NA,R (>= 3.1.0),"dplyr (>= 0.7.1), ggplot2 (>= 2.2.1), reshape2, stats, utils,
rlang",NA,"arm, gridExtra (>= 2.2.1), knitr (>= 1.16), loo (>= 1.1.0),
rmarkdown (>= 1.0.0), rstan (>= 2.14.1), rstanarm (>= 2.14.1),
rstantools (>= 1.2.0), scales, shinystan (>= 2.3.0), testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.2
bdsmatrix,/Users/hamedbh/Library/R/3.x/library,1.3-2,NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.3.0
benchmarkme,/Users/hamedbh/Library/R/3.x/library,0.6.0,NA,NA,"Matrix, compiler, httr, methods, benchmarkmeData(>= 0.5.0),
utils, graphics, parallel, doParallel, foreach",NA,"RcppZiggurat, testthat, DT, knitr, ggplot2, rmarkdown",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.2
benchmarkmeData,/Users/hamedbh/Library/R/3.x/library,0.5.1,NA,NA,"graphics, utils,",NA,"testthat, DT, benchmarkme",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.2
bindr,/Users/hamedbh/Library/R/3.x/library,0.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.1
bindrcpp,/Users/hamedbh/Library/R/3.x/library,0.2,NA,NA,"Rcpp, bindr","Rcpp, plogr",testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.1
bit,/Users/hamedbh/Library/R/3.x/library,1.1-12,NA,R (>= 2.9.2),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
bit64,/Users/hamedbh/Library/R/3.x/library,0.9-7,NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
bitops,/Users/hamedbh/Library/R/3.x/library,1.0-6,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.3.0
blob,/Users/hamedbh/Library/R/3.x/library,1.1.0,NA,NA,tibble,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.4.1
boot,/Users/hamedbh/Library/R/3.x/library,1.3-20,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,3.4.1
bootstrap,/Users/hamedbh/Library/R/3.x/library,2017.2,NA,"stats, R (>= 2.10.0)",NA,NA,NA,NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.3.3
brew,/Users/hamedbh/Library/R/3.x/library,1.0-6,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.3.3
broom,/Users/hamedbh/Library/R/3.x/library,0.4.2,NA,NA,"plyr, dplyr, tidyr, psych, stringr, reshape2, nlme, methods",NA,"knitr, boot, survival, gam, glmnet, lfe, Lahman, MASS, sp,
maps, maptools, multcomp, testthat, lme4, zoo, lmtest, plm,
biglm, ggplot2, nnet, geepack, AUC, ergm, network,
statnet.common, xergm, btergm, binGroup, Hmisc, bbmle, gamlss,
rstan, rstanarm, brms, coda, gmm, Matrix, ks, purrr, orcutt,
mgcv, lmodel2, poLCA, mclust, covr, lsmeans, betareg, robust,
akima",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.3
bsts,/Users/hamedbh/Library/R/3.x/library,0.7.1,NA,"BoomSpikeSlab (>= 0.9.0), zoo, xts, Boom (>= 0.7), R(>= 3.3.1)",NA,"Boom (>= 0.7), BH (>= 1.15.0-2)",NA,NA,LGPL-2.1 | file LICENSE,NA,NA,NA,NA,yes,3.4.2
caTools,/Users/hamedbh/Library/R/3.x/library,1.17.1,NA,R (>= 2.2.0),bitops,NA,"MASS, rpart",NA,GPL-3,NA,NA,NA,NA,yes,3.3.0
callr,/Users/hamedbh/Library/R/3.x/library,1.0.0,NA,NA,NA,NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.0
car,/Users/hamedbh/Library/R/3.x/library,2.1-5,NA,R (>= 3.2.0),"MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg, grDevices,
utils, stats, graphics",NA,"alr4, boot, coxme, leaps, lme4, lmtest, Matrix, MatrixModels,
nlme, rgl (>= 0.93.960), sandwich, SparseM, survival, survey,
nloptr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
caret,/Users/hamedbh/Library/R/3.x/library,6.0-77,NA,"R (>= 2.10), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.0.1),
withr (>= 2.0.0)",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam, ipred,
kernlab, klaR, MASS, ellipse, mda, mgcv, mlbench, MLmetrics,
nnet, party (>= 0.9-99992), pls, pROC, proxy, randomForest,
RANN, spls, subselect, pamr, superpc, Cubist, testthat (>=
0.9.1)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
cellranger,/Users/hamedbh/Library/R/3.x/library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.3
checkmate,/Users/hamedbh/Library/R/3.x/library,1.8.4,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",NA,"R6, bit, data.table (>= 1.9.8), devtools, ggplot2, knitr,
magrittr, microbenchmark, rmarkdown, testthat (>= 0.11.0),
tibble",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.2
chron,/Users/hamedbh/Library/R/3.x/library,2.3-50,NA,R (>= 2.12.0),"graphics, stats",NA,"scales, ggplot2",zoo,GPL-2,NA,NA,NA,NA,yes,3.3.3
class,/Users/hamedbh/Library/R/3.x/library,7.3-14,recommended,"R (>= 3.0.0), stats, utils",MASS,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.3.1
clipr,/Users/hamedbh/Library/R/3.x/library,0.3.3,NA,NA,utils,NA,"rstudioapi (>= 0.5), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.4.1
cluster,/Users/hamedbh/Library/R/3.x/library,2.0.6,recommended,R (>= 3.0.1),"graphics, grDevices, stats, utils",NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
coda,/usr/lib/R/site-library,0.18-1,NA,R (>= 2.14.0),lattice,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.2.2
codetools,/Users/hamedbh/Library/R/3.x/library,0.2-15,recommended,R (>= 2.1),NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.3.3
colformat,/home/rstudio/packages,0.0.0.9000,NA,NA,crayon,NA,testthat,NA,GPL-3,NA,NA,NA,NA,NA,3.4.0
colorspace,/usr/local/lib/R/site-library,1.2-6,NA,"R (>= 2.13.0), methods",graphics,NA,"KernSmooth, MASS, kernlab, mvtnorm, vcd, dichromat, tcltk",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.3.0
colourpicker,/Users/hamedbh/Library/R/3.x/library,1.0,NA,R (>= 3.1.0),"ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.2
commonmark,/Users/hamedbh/Library/R/3.x/library,1.4,NA,NA,NA,NA,curl,NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.2
compiler,/Users/hamedbh/Library/R/3.x/library,3.3.1,base,NA,NA,NA,NA,NA,Part of R 3.3.1,NA,NA,NA,NA,NA,3.3.1
config,/Users/hamedbh/Library/R/3.x/library,0.2,NA,NA,yaml (>= 2.1.13),NA,"testthat, knitr",NA,GPL-3,NA,NA,NA,NA,no,3.4.2
